customer_id,days_since_purchase,orders_12m,spend_12m,email_open_rate,sms_opt_in,web_visits_30d,household_segment,preferred_category,campaign_channel,responded_30d
M00001,21,11,601.22,0.074,Yes,11,Urban single,Electronics,Email,1
M00002,136,5,318.68,0.392,No,6,Family,Home,Direct mail,0
M00003,146,6,503.19,0.162,Yes,9,Urban single,Grocery,Email,1
M00004,114,13,866.11,0.091,Yes,11,Urban single,Electronics,Paid social,0
M00005,64,11,376.41,0.199,No,11,Retired,Home,Paid social,1
M00006,119,4,195.87,0.262,Yes,10,Young household,Grocery,Email,1
M00007,76,3,223.15,0.134,Yes,8,Urban single,Apparel,Paid social,1
M00008,133,10,852.55,0.136,No,8,Established,Apparel,Email,0
M00009,4,18,216,0.344,No,18,Retired,Grocery,Email,1
M00010,64,3,228.27,0.217,No,9,Urban single,Grocery,SMS,1
M00011,6,7,517.56,0.344,Yes,9,Retired,Electronics,SMS,0
M00012,94,12,1256.99,0.025,No,16,Family,Beauty,Paid social,1
M00013,89,11,585.77,0.207,Yes,13,Urban single,Beauty,SMS,1
M00014,37,12,404.01,0.223,Yes,12,Retired,Apparel,Direct mail,1
M00015,87,9,160.58,0.23,No,8,Retired,Beauty,SMS,1
M00016,134,7,293.27,0.226,No,12,Retired,Home,Paid social,1
M00017,41,6,562.93,0.186,No,5,Young household,Grocery,SMS,0
M00018,85,10,138.32,0.159,No,12,Young household,Apparel,Paid social,0
M00019,53,5,290.16,0.22,Yes,12,Established,Electronics,Paid social,0
M00020,103,9,453.91,0.497,No,6,Young household,Apparel,Direct mail,1
M00021,59,11,468.05,0.089,No,11,Young household,Electronics,Paid social,1
M00022,57,11,586.22,0.042,Yes,9,Established,Electronics,Email,0
M00023,57,5,209.54,0.354,Yes,10,Established,Grocery,Paid social,0
M00024,84,11,758.56,0.307,No,10,Family,Apparel,Paid social,0
M00025,66,5,60,0.563,No,7,Urban single,Apparel,Direct mail,1
M00026,119,5,309,0.141,Yes,7,Young household,Home,Paid social,0
M00027,89,13,893.05,0.279,Yes,9,Family,Electronics,Email,1
M00028,39,15,463.97,0.299,Yes,16,Retired,Apparel,Paid social,0
M00029,31,14,525.66,0.195,No,10,Young household,Beauty,Direct mail,0
M00030,48,5,358.39,0.31,No,7,Family,Grocery,Email,1
M00031,35,13,694.31,0.028,Yes,16,Urban single,Grocery,Direct mail,0
M00032,5,11,827.44,0.42,Yes,11,Retired,Grocery,SMS,1
M00033,25,8,474.37,0,No,6,Urban single,Home,SMS,0
M00034,121,2,117.84,0.333,No,7,Established,Electronics,Paid social,0
M00035,84,10,671.43,0.172,No,8,Retired,Grocery,SMS,1
M00036,83,8,292.04,0,No,12,Urban single,Electronics,Email,0
M00037,48,13,904.73,0.564,No,13,Family,Apparel,Paid social,1
M00038,134,4,204.91,0.247,No,4,Urban single,Beauty,Direct mail,0
M00039,56,11,431.77,0.087,No,8,Established,Electronics,SMS,1
M00040,137,6,367.22,0,No,4,Established,Electronics,Direct mail,0
M00041,130,8,355.47,0,No,7,Urban single,Grocery,SMS,0
M00042,146,4,63.15,0.272,Yes,4,Retired,Home,Email,0
M00043,132,4,292.57,0.125,Yes,6,Urban single,Apparel,SMS,1
M00044,136,6,325.02,0.297,Yes,9,Young household,Beauty,Paid social,0
M00045,113,8,243.27,0.266,No,14,Urban single,Beauty,Direct mail,0
M00046,7,7,585.02,0.104,Yes,4,Established,Home,Paid social,1
M00047,141,10,560.99,0.289,No,12,Family,Grocery,SMS,1
M00048,110,13,541.73,0.004,Yes,10,Retired,Beauty,Direct mail,1
M00049,110,6,322.17,0.275,No,4,Retired,Apparel,Direct mail,0
M00050,69,12,815.96,0.251,No,9,Retired,Grocery,Email,1
M00051,21,13,1179.65,0,Yes,15,Retired,Grocery,Paid social,1
M00052,137,6,371.17,0.534,No,7,Established,Home,Email,1
M00053,87,8,262.74,0.236,No,10,Established,Electronics,Email,0
M00054,111,9,437.66,0.069,Yes,9,Established,Apparel,SMS,0
M00055,74,9,622.37,0.212,Yes,6,Family,Apparel,Paid social,1
M00056,35,8,414.34,0.106,No,12,Young household,Electronics,Email,0
M00057,117,8,631.69,0.219,No,7,Young household,Grocery,Paid social,1
M00058,15,12,590.21,0.319,Yes,12,Young household,Beauty,SMS,1
M00059,56,13,704.01,0.347,No,13,Retired,Electronics,Paid social,1
M00060,33,7,321.93,0.022,No,4,Retired,Home,SMS,1
M00061,22,9,514.44,0.11,No,11,Family,Grocery,Paid social,1
M00062,117,12,1031.2,0.141,No,15,Young household,Home,Paid social,1
M00063,51,3,392.05,0.293,Yes,8,Urban single,Grocery,SMS,0
M00064,128,7,421.67,0.127,No,11,Urban single,Home,SMS,1
M00065,25,15,508.06,0.314,No,15,Young household,Electronics,Direct mail,1
M00066,77,6,341.85,0.229,No,8,Young household,Electronics,Email,1
M00067,129,9,108,0.387,Yes,7,Established,Grocery,SMS,0
M00068,94,11,897.37,0.391,Yes,8,Young household,Home,Paid social,1
M00069,145,4,174.17,0.132,Yes,7,Family,Beauty,Email,0
M00070,148,6,332.2,0.015,Yes,8,Urban single,Apparel,SMS,1
M00071,53,13,622.2,0.343,No,9,Established,Electronics,Email,0
M00072,83,9,313.11,0.271,No,14,Established,Beauty,Direct mail,0
M00073,11,5,307.34,0.139,Yes,9,Young household,Grocery,Direct mail,1
M00074,87,12,345.11,0.318,Yes,13,Urban single,Electronics,Email,1
M00075,25,10,644.04,0.457,No,9,Urban single,Beauty,SMS,0
M00076,8,14,742.8,0.05,Yes,11,Retired,Electronics,Direct mail,0
M00077,15,12,498.57,0.421,No,13,Urban single,Electronics,Email,1
M00078,97,7,246.81,0.279,No,10,Retired,Grocery,Paid social,1
M00079,128,8,355.03,0.082,No,7,Retired,Apparel,Paid social,1
M00080,18,9,496.11,0.371,No,11,Urban single,Beauty,Email,1
M00081,107,6,72,0.271,No,7,Urban single,Electronics,SMS,0
M00082,65,6,317.64,0.016,Yes,7,Established,Beauty,Direct mail,0
M00083,124,7,562.48,0.148,Yes,13,Young household,Home,Paid social,0
M00084,22,13,667.51,0.299,Yes,12,Retired,Apparel,SMS,0
M00085,57,10,861.05,0.143,Yes,8,Urban single,Home,Email,1
M00086,59,8,625.08,0.221,No,10,Young household,Beauty,Email,0
M00087,100,10,597.17,0,No,10,Young household,Home,Paid social,1
M00088,26,10,714.55,0,No,12,Family,Electronics,Paid social,0
M00089,46,5,316.41,0.067,No,9,Young household,Home,Direct mail,0
M00090,56,15,1236.73,0.253,Yes,12,Young household,Home,Email,1
M00091,70,6,415.86,0.353,Yes,6,Established,Beauty,Direct mail,0
M00092,29,5,264.6,0.222,No,10,Established,Electronics,SMS,1
M00093,60,12,515.36,0.119,No,16,Young household,Home,Direct mail,1
M00094,18,9,728.99,0.11,No,8,Established,Grocery,Direct mail,1
M00095,7,5,328.92,0.364,Yes,4,Established,Electronics,SMS,1
M00096,149,12,498.27,0.246,No,11,Established,Beauty,Direct mail,0
M00097,75,13,285.74,0.292,Yes,14,Young household,Grocery,SMS,1
M00098,128,2,149.58,0.278,No,2,Young household,Beauty,Email,0
M00099,43,10,475.14,0.357,Yes,10,Young household,Beauty,Email,1
M00100,125,2,160.33,0.626,No,6,Urban single,Electronics,Paid social,0
M00101,59,7,214.28,0.082,No,4,Urban single,Grocery,SMS,0
M00102,132,9,108,0.401,Yes,10,Urban single,Electronics,Email,1
M00103,10,10,670.77,0.183,No,13,Established,Home,SMS,1
M00104,73,10,273.9,0.059,Yes,10,Retired,Electronics,Paid social,1
M00105,118,12,144,0.172,No,12,Retired,Beauty,Email,0
M00106,13,17,496.17,0.129,No,14,Young household,Home,Email,0
M00107,12,8,606.82,0.51,Yes,7,Established,Apparel,SMS,1
M00108,87,11,711.07,0.135,Yes,15,Retired,Beauty,Email,1
M00109,58,11,1021.37,0.251,No,9,Young household,Beauty,SMS,1
M00110,30,10,505.27,0.388,No,12,Family,Grocery,SMS,1
M00111,107,9,162.23,0.126,No,6,Young household,Home,Paid social,0
M00112,32,10,622.78,0.348,No,6,Urban single,Beauty,SMS,1
M00113,11,7,386.3,0.211,No,12,Family,Grocery,Direct mail,1
M00114,137,9,595.86,0.176,Yes,8,Family,Beauty,SMS,0
M00115,97,10,805.63,0.672,No,10,Urban single,Beauty,Email,1
M00116,99,3,157.04,0.069,Yes,4,Urban single,Apparel,Paid social,0
M00117,35,7,214,0.267,No,6,Established,Grocery,Email,0
M00118,76,11,522.77,0,Yes,12,Urban single,Electronics,SMS,1
M00119,66,10,347.49,0.198,Yes,11,Family,Grocery,SMS,0
M00120,89,10,732.31,0.453,No,11,Established,Beauty,Direct mail,1
M00121,34,14,1286.75,0.382,No,18,Established,Grocery,Email,1
M00122,135,4,334.77,0.21,No,10,Urban single,Electronics,SMS,1
M00123,136,5,446.12,0.288,No,7,Urban single,Beauty,Direct mail,0
M00124,32,8,221.04,0.239,No,13,Retired,Apparel,SMS,1
M00125,150,8,391.14,0.427,No,9,Established,Home,Email,1
M00126,39,7,520.73,0.371,Yes,12,Urban single,Beauty,Email,0
M00127,26,12,556.19,0,No,11,Established,Home,Email,1
M00128,128,1,93.69,0.268,No,7,Urban single,Apparel,Direct mail,0
M00129,108,6,230.86,0.398,No,7,Retired,Electronics,Direct mail,0
M00130,142,9,342.49,0.466,Yes,6,Established,Grocery,Paid social,0
M00131,84,16,1100.75,0.199,Yes,15,Established,Apparel,Paid social,1
M00132,132,7,267.33,0.063,Yes,5,Urban single,Grocery,Paid social,0
M00133,101,6,493.16,0,Yes,9,Young household,Beauty,Direct mail,0
M00134,83,8,591.88,0.155,No,9,Family,Beauty,Direct mail,0
M00135,125,10,649.09,0.383,No,14,Urban single,Grocery,Email,0
M00136,71,5,451,0,No,11,Young household,Home,Paid social,0
M00137,117,11,678.12,0.127,No,14,Retired,Beauty,Email,1
M00138,140,11,198.92,0.288,Yes,7,Retired,Apparel,Direct mail,0
M00139,60,8,548.91,0.497,No,9,Retired,Grocery,SMS,0
M00140,81,5,305.59,0.262,No,3,Urban single,Apparel,Direct mail,0
M00141,100,6,72,0.329,No,9,Family,Electronics,Paid social,0
M00142,31,8,553.37,0.244,No,11,Urban single,Grocery,SMS,1
M00143,79,8,752.26,0.125,Yes,7,Family,Grocery,Paid social,0
M00144,74,8,269.52,0.052,No,11,Family,Apparel,SMS,0
M00145,28,9,271.29,0.249,Yes,13,Urban single,Home,SMS,1
M00146,75,8,468.67,0.242,No,12,Family,Home,Direct mail,1
M00147,105,6,330.8,0.187,No,6,Retired,Apparel,Email,0
M00148,49,10,381.68,0.19,Yes,13,Retired,Home,Direct mail,0
M00149,68,9,312.44,0.316,No,14,Established,Home,Direct mail,1
M00150,96,8,514.06,0.505,No,8,Established,Beauty,Email,1
M00151,43,13,270.45,0.345,No,13,Urban single,Home,Email,1
M00152,137,11,601.33,0.515,Yes,12,Family,Beauty,SMS,1
