customer_id,tenure_months,days_since_purchase,orders_90d,avg_basket,discount_share,returns_90d,support_tickets,loyalty_member,preferred_category,churned_90d
R00001,57,30,8,67.42,0.603,1,1,Yes,Apparel,0
R00002,35,38,2,10,0.34,1,0,Yes,Beauty,0
R00003,11,33,3,86.67,0.474,1,1,No,Electronics,1
R00004,12,35,1,19.75,0.285,1,0,Yes,Apparel,0
R00005,25,35,1,18.31,0.041,1,0,Yes,Grocery,0
R00006,51,63,4,48.83,0.599,1,2,Yes,Grocery,1
R00007,7,50,4,85.79,0.47,0,0,No,Apparel,0
R00008,27,53,6,51.79,0.32,0,0,Yes,Beauty,0
R00009,11,55,0,94.68,0.179,0,0,No,Grocery,0
R00010,33,50,6,23.49,0.135,1,0,Yes,Grocery,0
R00011,32,78,8,61.23,0.287,2,0,Yes,Apparel,0
R00012,48,60,6,53.59,0.341,0,0,Yes,Home,0
R00013,23,23,6,51.37,0.4,0,0,Yes,Grocery,0
R00014,64,89,5,44.34,0.042,1,1,Yes,Electronics,1
R00015,56,83,6,67.16,0.373,0,0,Yes,Electronics,0
R00016,53,52,7,66.79,0,0,0,Yes,Beauty,0
R00017,51,88,2,68.92,0.279,1,1,Yes,Electronics,0
R00018,31,67,4,56.81,0.269,2,2,Yes,Grocery,1
R00019,54,52,6,19.72,0.223,0,1,Yes,Beauty,1
R00020,18,62,6,44.39,0,0,0,No,Apparel,0
R00021,51,58,7,57.91,0.075,2,2,Yes,Home,0
R00022,39,50,2,27.07,0.198,0,1,Yes,Apparel,0
R00023,14,61,5,98.81,0.371,0,0,Yes,Grocery,0
R00024,11,66,6,75.42,0.355,0,0,Yes,Electronics,0
R00025,48,42,7,64.87,0.132,2,0,Yes,Apparel,0
R00026,12,56,3,47.49,0.214,1,0,No,Beauty,0
R00027,14,51,6,33.55,0.233,1,1,No,Electronics,0
R00028,35,28,5,44.23,0.143,1,1,Yes,Electronics,0
R00029,63,39,8,10,0.48,1,1,Yes,Home,0
R00030,11,39,1,32.64,0.607,0,1,Yes,Grocery,0
R00031,52,40,5,90.11,0.463,0,0,Yes,Beauty,0
R00032,15,48,6,15.98,0.403,1,0,No,Apparel,0
