visitor_id,sessions_30d,product_views,cart_adds,wishlist_items,avg_session_minutes,prior_orders,email_clicks_30d,acquisition_channel,device,converted_14d
V00001,1,1,0,2,0.4,3,1,Search,Mobile,0
V00002,4,10,1,2,2.44,3,1,Organic,Desktop,1
V00003,12,39,7,4,15.92,2,1,Affiliate,Tablet,1
V00004,3,11,2,1,3.52,0,0,Organic,Tablet,0
V00005,13,67,13,6,17.12,0,1,Affiliate,Mobile,1
V00006,5,20,2,2,6.28,3,0,Affiliate,Tablet,1
V00007,1,5,1,0,5.6,0,1,Affiliate,Desktop,0
V00008,6,25,3,1,8.49,1,0,Affiliate,Tablet,0
V00009,6,22,4,0,9.95,3,2,Search,Desktop,1
V00010,13,31,5,2,12.53,5,0,Paid social,Tablet,1
V00011,11,34,4,2,10.57,4,0,Email,Tablet,1
V00012,4,16,3,2,7.71,4,3,Search,Mobile,1
V00013,14,69,9,3,16.25,1,1,Organic,Desktop,1
V00014,9,44,6,3,11.73,0,0,Paid social,Tablet,1
V00015,4,20,3,2,7.8,5,4,Organic,Mobile,1
V00016,5,24,1,1,5.98,0,4,Email,Tablet,1
V00017,11,44,3,0,12.4,2,2,Affiliate,Mobile,1
V00018,12,50,9,3,11.65,2,3,Email,Tablet,1
V00019,14,45,7,4,14.15,1,2,Paid social,Desktop,1
V00020,2,2,0,0,3.23,1,1,Affiliate,Tablet,0
V00021,12,47,9,3,14.54,3,4,Email,Desktop,1
V00022,12,34,2,1,9.91,4,1,Affiliate,Tablet,1
V00023,12,37,2,0,10.24,2,2,Affiliate,Mobile,1
V00024,11,27,2,0,8.38,0,2,Paid social,Tablet,1
V00025,8,21,1,0,9.54,1,1,Paid social,Mobile,1
V00026,1,1,0,0,4.44,3,1,Search,Mobile,0
V00027,13,54,10,4,17.69,2,3,Organic,Mobile,1
V00028,13,42,4,1,10.32,0,1,Affiliate,Tablet,0
V00029,10,35,3,1,8.63,0,4,Email,Desktop,0
V00030,13,62,11,5,18.78,1,4,Email,Desktop,1
V00031,7,27,2,1,4.88,2,1,Affiliate,Desktop,1
V00032,9,28,6,2,10.1,4,3,Search,Mobile,1
V00033,6,27,3,1,4.09,0,3,Email,Tablet,1
V00034,1,2,0,0,3.37,4,3,Organic,Mobile,0
V00035,11,57,10,4,16.63,3,4,Email,Tablet,1
V00036,12,36,4,0,11.85,0,3,Organic,Desktop,1
V00037,2,9,1,1,6.39,3,3,Organic,Tablet,1
V00038,7,34,7,4,12.09,2,0,Search,Tablet,1
V00039,10,39,7,3,9.69,2,3,Paid social,Mobile,1
V00040,11,44,2,2,10.19,4,1,Email,Mobile,1
V00041,9,44,5,3,12.89,1,0,Email,Mobile,1
V00042,6,28,2,2,10.34,4,2,Search,Desktop,1
V00043,5,6,1,0,2.24,1,0,Affiliate,Mobile,0
V00044,10,29,5,1,10.94,2,1,Email,Tablet,1
V00045,10,27,1,2,8.6,1,1,Paid social,Mobile,1
V00046,8,28,5,1,9.54,6,2,Email,Tablet,1
V00047,12,28,6,3,15.8,2,4,Affiliate,Desktop,1
V00048,3,9,1,0,3.85,1,3,Search,Mobile,0
V00049,6,21,4,1,5.97,4,4,Email,Desktop,1
V00050,6,31,6,2,7.61,3,1,Organic,Desktop,1
V00051,2,7,1,3,6.73,2,0,Paid social,Desktop,1
V00052,2,8,1,2,1.54,0,3,Organic,Mobile,0
V00053,13,35,6,2,13.68,0,3,Search,Desktop,1
V00054,11,32,6,2,11.3,0,2,Search,Tablet,1
V00055,12,47,6,4,14.41,1,2,Paid social,Mobile,1
V00056,13,50,6,3,11.79,0,0,Organic,Tablet,1
V00057,8,24,1,0,7.53,4,2,Organic,Tablet,1
V00058,13,40,4,0,10.23,3,0,Affiliate,Desktop,0
V00059,1,1,0,2,1.84,4,4,Affiliate,Desktop,1
V00060,6,25,2,2,7.17,2,0,Paid social,Tablet,1
V00061,14,48,3,0,10.36,2,1,Organic,Mobile,1
V00062,10,32,4,2,10.09,1,3,Organic,Tablet,1
V00063,1,1,0,0,2.78,0,1,Search,Desktop,0
V00064,8,22,3,1,7.54,0,3,Search,Mobile,0
V00065,5,15,2,1,8.05,0,1,Search,Mobile,0
V00066,6,27,3,0,5.53,2,2,Affiliate,Mobile,1
V00067,3,17,3,1,5.66,1,0,Search,Tablet,1
V00068,10,47,9,5,15.35,2,0,Paid social,Desktop,1
V00069,7,25,4,3,9.65,4,0,Search,Mobile,1
V00070,9,27,4,3,10.25,2,4,Organic,Mobile,1
V00071,5,18,1,0,5.92,0,2,Affiliate,Desktop,1
V00072,3,18,2,1,5.75,2,0,Email,Tablet,1
V00073,11,53,6,4,13.05,5,2,Search,Desktop,1
V00074,8,26,2,1,9.42,4,3,Email,Tablet,1
V00075,8,24,3,2,7.1,4,0,Paid social,Desktop,1
V00076,11,44,5,3,8.26,3,2,Affiliate,Tablet,1
V00077,12,34,7,3,11.86,4,0,Organic,Mobile,1
V00078,7,15,3,1,11.41,6,3,Affiliate,Mobile,1
V00079,11,45,4,2,13.8,0,2,Organic,Desktop,0
V00080,11,43,4,3,9.23,3,2,Email,Mobile,1
V00081,7,36,2,0,6.95,4,4,Paid social,Tablet,0
V00082,7,25,4,2,11.43,2,1,Paid social,Desktop,1
V00083,7,33,6,2,10.78,6,0,Email,Mobile,1
V00084,9,29,6,2,7.24,0,0,Search,Desktop,1
V00085,2,10,1,0,5.55,2,0,Email,Mobile,0
V00086,3,12,2,1,0.62,2,2,Paid social,Desktop,1
V00087,6,14,1,0,4.93,3,1,Search,Tablet,1
V00088,7,29,2,1,7.96,0,0,Organic,Desktop,0
V00089,12,37,5,2,12.15,4,0,Paid social,Mobile,1
V00090,2,12,2,2,5.53,4,0,Search,Mobile,1
V00091,2,8,1,2,8.8,3,2,Email,Mobile,0
V00092,6,23,1,0,6.04,4,4,Search,Mobile,0
V00093,9,25,2,0,8.1,2,0,Search,Tablet,0
V00094,6,20,4,1,5.01,2,2,Affiliate,Mobile,1
V00095,1,4,1,1,2.81,6,1,Organic,Mobile,0
V00096,6,25,2,2,7.09,0,3,Search,Tablet,0
V00097,8,42,9,3,12.88,2,2,Organic,Tablet,1
V00098,6,26,4,3,7.15,1,1,Organic,Mobile,1
V00099,13,61,12,5,19,2,0,Email,Desktop,1
V00100,13,41,8,3,14.39,0,1,Email,Desktop,1
