customer_id,tenure_months,orders_12m,avg_order_value,return_rate,email_click_rate,loyalty_points,support_tickets,acquisition_channel,region,lifetime_value_12m
C00001,22,5,52.67,0.11,0.172,161,1,Search,Midwest,284.26
C00002,49,6,85,0.161,0.179,432,1,Organic,Midwest,653.3
C00003,46,8,47.02,0.125,0.251,370,2,Referral,Northeast,459.57
C00004,58,14,64.86,0.11,0.247,806,1,Organic,Northeast,1256.49
C00005,60,5,67.68,0.229,0.291,336,2,Referral,West,479.02
C00006,48,6,32.45,0.08,0.113,155,1,Organic,South,213.64
C00007,2,4,52.88,0.201,0.085,142,1,Store,Northeast,157.32
C00008,57,9,61.08,0.081,0.193,547,0,Store,West,856.07
C00009,28,10,64.86,0.18,0.248,513,1,Paid social,West,689.51
C00010,30,8,45.61,0.05,0.221,368,2,Store,West,343.55
C00011,71,6,98.04,0.123,0.416,673,0,Referral,West,892.6
C00012,56,1,54.71,0.001,0.155,44,2,Paid social,Midwest,68.46
C00013,15,9,14.46,0.219,0.131,154,2,Referral,Midwest,81.91
C00014,26,7,72.38,0.183,0.187,338,2,Organic,Northeast,396.99
C00015,33,8,93.12,0.062,0.234,547,2,Organic,Midwest,917.37
C00016,54,9,91.76,0.054,0.377,883,1,Store,West,1237.4
C00017,15,7,72.51,0.16,0.191,348,0,Search,Midwest,471.8
C00018,3,6,33.27,0.177,0.302,173,0,Organic,South,75.98
C00019,44,3,41.98,0.166,0.171,92,1,Organic,West,106.67
C00020,38,7,72.63,0.245,0.255,547,2,Referral,South,540.14
C00021,30,1,12,0.253,0.154,13,0,Store,West,20
C00022,30,9,59.71,0.021,0.269,417,1,Referral,Northeast,781.97
C00023,13,2,35.08,0.174,0.17,69,3,Referral,Northeast,193.1
C00024,68,9,80.74,0.133,0.344,863,0,Store,Midwest,1167.89
C00025,52,1,61.7,0.141,0.128,51,2,Organic,West,174.12
C00026,58,2,110.35,0.104,0.223,238,1,Paid social,Midwest,260.92
C00027,9,5,70.08,0.118,0.254,311,1,Referral,West,447.8
C00028,2,6,81.42,0.163,0.271,387,3,Referral,West,396.53
C00029,20,4,71.73,0.136,0.157,313,1,Paid social,Midwest,339.2
C00030,12,4,12,0.166,0.013,37,2,Search,Northeast,128.01
C00031,4,5,54.56,0.117,0.151,283,1,Referral,Midwest,330.95
C00032,19,2,34.9,0.125,0.149,52,1,Store,West,122.37
C00033,44,5,104.21,0.099,0.173,574,0,Referral,Midwest,600.85
C00034,10,1,52.43,0.222,0.18,44,1,Store,Northeast,116.04
C00035,6,3,19.76,0.22,0.268,40,2,Referral,West,20
C00036,51,8,57.74,0.06,0.115,390,1,Store,West,602.24
C00037,18,1,12,0.25,0.097,8,0,Paid social,South,58.57
C00038,65,10,20.22,0.088,0.197,240,1,Referral,Northeast,322.16
C00039,62,8,84.93,0.138,0.3,807,1,Organic,Midwest,936.93
C00040,68,9,103.69,0.133,0.235,584,0,Paid social,Midwest,1457.49
C00041,6,1,38.31,0.197,0.063,26,1,Search,South,20
C00042,45,5,72.88,0.181,0.143,404,1,Organic,West,521.75
C00043,35,4,76.66,0.157,0.157,325,0,Search,Northeast,393.8
C00044,39,11,88.36,0.135,0.366,653,1,Store,West,1186.41
C00045,21,9,46.95,0.128,0.244,356,2,Search,Midwest,514.68
C00046,10,1,22.16,0.13,0.11,19,2,Store,Northeast,31.99
C00047,30,10,99.73,0.129,0.083,1167,2,Paid social,South,1317.73
C00048,28,8,86.5,0.118,0.278,675,0,Referral,Midwest,719.01
C00049,38,1,63.85,0.176,0.026,64,1,Organic,South,20
C00050,36,1,12,0.193,0,12,0,Referral,Northeast,20
C00051,64,14,34.04,0.09,0.229,438,1,Paid social,West,779.28
C00052,62,7,59.43,0.166,0.088,445,2,Organic,Northeast,533.85
C00053,60,5,49.6,0.124,0.136,279,1,Referral,West,419.29
C00054,21,3,20.94,0.217,0.344,67,2,Store,Northeast,90.1
C00055,2,2,72.23,0.111,0.173,101,2,Organic,Midwest,141.63
C00056,23,3,39.01,0.116,0.173,99,3,Search,South,64.41
C00057,3,1,67.75,0.098,0.119,69,1,Search,Northeast,20
C00058,59,5,62.4,0.168,0.099,199,0,Paid social,West,566.23
C00059,67,7,75.45,0.125,0.232,507,2,Referral,West,716.13
C00060,58,4,72.07,0.052,0.37,224,2,Referral,Midwest,447.76
C00061,25,5,44.99,0.075,0.26,247,3,Search,West,227.21
C00062,2,7,47.5,0.019,0.332,266,1,Organic,South,359.67
C00063,38,3,64.41,0.207,0.291,132,2,Organic,South,148.63
C00064,52,10,36.06,0.025,0.288,396,0,Referral,Northeast,534.64
C00065,57,7,55.34,0.128,0.4,451,3,Organic,South,440.84
C00066,65,10,96.82,0.116,0.266,967,1,Organic,South,1464.22
C00067,51,6,74.39,0.037,0.169,380,2,Paid social,Midwest,700.12
C00068,57,12,86.22,0.135,0.303,1064,1,Search,West,1502.88
C00069,9,5,35.32,0.137,0.26,204,3,Store,Northeast,48.81
