customer_id,promotion_received,discount_pct,days_since_purchase,orders_6m,avg_basket,full_price_share,email_engagement,loyalty_tier,preferred_category,purchased_30d
P00001,1,25,55,7,68.85,0.796,0.027,Gold,Apparel,0
P00002,1,15,25,10,102.6,0.113,0.291,Platinum,Home,1
P00003,0,0,34,5,50.92,0.759,0.223,Silver,Electronics,0
P00004,0,0,23,8,127.24,0.836,0.348,Platinum,Apparel,0
P00005,0,0,39,5,15.88,0.478,0.142,Platinum,Electronics,0
P00006,0,0,110,3,9,0.889,0.259,Silver,Grocery,0
P00007,0,0,2,3,26.64,0.743,0.07,Platinum,Beauty,0
P00008,0,0,58,7,39.65,0.566,0.227,None,Electronics,0
P00009,1,15,85,5,74.13,0.739,0,Gold,Electronics,1
P00010,0,0,64,6,73.32,0.374,0.26,None,Grocery,0
P00011,1,20,56,7,10.15,0.655,0.244,Platinum,Grocery,1
P00012,0,0,65,5,64.35,0.722,0.341,Platinum,Home,1
P00013,0,0,7,6,78.97,0.464,0.075,None,Electronics,0
P00014,0,0,45,5,87.32,0.149,0.342,Gold,Home,1
P00015,0,0,20,6,73.75,0.467,0.227,Gold,Apparel,0
P00016,0,0,86,5,48.99,0.544,0.239,Gold,Beauty,0
P00017,1,10,55,7,66.2,0.253,0,None,Electronics,1
P00018,0,0,93,2,74.55,0.381,0,None,Grocery,0
P00019,0,0,79,5,62.75,0.168,0,Platinum,Grocery,1
P00020,1,10,91,3,62.63,0.513,0.372,Platinum,Home,1
P00021,0,0,23,5,57.85,0.239,0.082,Platinum,Grocery,0
P00022,1,10,111,4,13.99,0.298,0.075,Platinum,Electronics,1
P00023,0,0,41,8,90.79,0.567,0.002,None,Home,0
P00024,1,15,83,6,66,0.523,0.245,None,Apparel,0
P00025,0,0,20,6,92.69,0.337,0.342,Gold,Apparel,1
P00026,0,0,67,3,62.06,0.45,0,Silver,Electronics,0
P00027,1,15,100,2,108.88,0.427,0.128,Gold,Grocery,1
P00028,1,15,108,6,87.11,0.85,0.206,Platinum,Grocery,1
P00029,0,0,106,4,116.96,0.413,0.06,Silver,Beauty,0
P00030,0,0,20,7,72.37,0.203,0.47,None,Beauty,1
P00031,0,0,25,4,51.28,0.44,0.273,None,Home,0
P00032,0,0,63,7,78.72,0.424,0.165,Silver,Grocery,0
P00033,1,15,90,2,56.43,0.62,0.088,Gold,Beauty,0
P00034,0,0,13,9,62.63,0.294,0.153,Platinum,Electronics,0
P00035,1,10,89,4,40.07,0.842,0,Gold,Home,0
P00036,1,25,41,3,80.19,0.135,0.374,Silver,Grocery,1
P00037,1,10,52,6,89.57,0.659,0.36,Silver,Apparel,1
P00038,0,0,2,6,60.99,0.099,0.093,Gold,Electronics,1
P00039,1,25,72,5,70.87,0.197,0.02,None,Apparel,1
P00040,1,10,87,1,43.49,0.468,0.094,None,Apparel,0
P00041,1,25,40,5,95.96,0.666,0.009,Silver,Beauty,0
P00042,0,0,78,4,101.14,0.668,0.04,Gold,Beauty,0
P00043,0,0,103,2,77.71,0.46,0.291,None,Grocery,0
P00044,0,0,90,3,100.03,0.405,0,None,Apparel,0
P00045,1,10,17,5,51.05,0.801,0.249,None,Home,0
P00046,1,15,4,8,85.36,0.152,0.129,Silver,Home,0
P00047,1,10,12,6,49.56,0.265,0.161,None,Grocery,1
P00048,1,10,75,2,74.44,0.419,0.344,None,Apparel,0
P00049,1,20,44,5,65.18,0.357,0.346,None,Apparel,1
